sms_id,sms_text,class
26,"USPS: Your parcel address is wrong, we can not deliver to your door, please fill in the address, so that we can deliver in time: https://uspostto.top (copy the link to your Safari browser and open it) O A A",smishing
27,"Our job is simple, we just need to rate or like the hotel we booked. If you want to join us, whatsapp details: +15815022293 (under 20 years old not allowed)",smishing
28,REGIONSBANK - Our team locked your debit on July 15th. Please visit: Regions-PROTECT.com to unlock it. Reply STOP to OPT OUT,smishing
29,U sick still can go shopping?,benign
30,"Nationwide has noticed your debit card was recently used on 23-05-2012 11:04:43, at APPLE ONLINE STORE for 1920.00 GBP If not you please urgently call fraud prevention on 03303800233 or Intl +443303800231. Do not reply by SMS http://www.nationwide.co.uk/",smishing
31,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",smishing
32,"Sorry,in meeting I'll call later",benign
33,Ok lor?whats up?,benign
34,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,smishing
35,Sitting ard nothing to do lor. U leh busy w work?,benign
36,"IMPORTANT MESSAGE FROM WESTPAC For the safety of our customers due to the recent COVID-19 virus, all customers are required to review and update their personal details. You will be unable to use Westpac services until you have done so. Please go to https:// westpac-mobile.cc/2update or call us on 132 032.",smishing
37,	We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,smishing
38,Your 2-factor authentication code is: 583921. This code expires in 10 minutes.,benign
39,"Prem Jewellrs Vijaynagar Lucky draw scheme , monthly Rs 300 for 12 month, every month lucky member will be given Rs3600 gold or silver article.Call-9008097492",smishing
40,Was it something u ate?,benign
41,"	Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",smishing
42,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,smishing
43,"I think I‘m waiting for the same bus! Inform me when you get there, if you ever get there.",benign
44,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,benign
45,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,benign
46,Yes just finished watching days of our lives. I love it.,benign
47,You have exited the specified 1 mile radius on three separate occasions today. A penalty notice has been issued to your address held on the electoral roll. More info & appeals can be filed at gov.uk/cvpenalty Stay at home. Protect the NHS. Save lives.,smishing
48,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",benign
49,"Dear, I am waiting for your call?I will be busy later on..",benign
50,	Please CALL 08712402972 immediately as there is an urgent message waiting for you,smishing
51,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : https://billingupdate.tvymdlywoxxc.com:911@normaly-run.000webhostapp.com/gac Netflix Services",smishing
52,Sorry about that this is my mates phone and i didnt write it love Kate,benign
53,Genius what's up. How your brother. Pls send his number to my skype.,benign
54,Mmm so yummy babe ... Nice jolt to the suzy,benign
55,"FRM:alerts@bankofthewest.com SUBJ: (Bank of the West) MSG:For Security review, Due to unusual activity,verify account at: https://tinyurl.com/2e2e85bw",smishing
56,Tmobile 86666/ Heads up: T-mobile one time pass. Get a reward from https://aritc.yru.ac.th/redirect/78?url=bit.do/jmelgrud,smishing
57,This is a gift to express our gratitude for your exceptional payment record. HAPPY 2023! Kp7C1.shoP/GTxulg9ld,smishing
58,"Gumby's has a special where a  &lt;#&gt; "" cheese pizza is $2 so I know what we're doin tonight",benign
59,"I just got home babe, are you still awake ?",benign
60,Ok?that?s fine,benign
61,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,benign
62,"Its ok, if anybody asks abt me, u tel them..:-P",benign
63,Netflix: Your payment cannot be completed. To keep access to the service http://netflix-membership.com to update your payment method. please visit,smishing
64,"15178777780 Deposited a new message: ""Apple Macbook Pro on your Amazon account. If you do not authorize this payment, please press one to speak to our customer support representative."" Click here: 14699825000 to listen to full voice message.",smishing
65,FRM:11/12/201911:37:19a.m. SUBJ:Citibank: Activity Alert! Please follow: MSG: http://webbciti.com,smishing
66,Oh k. . I will come tomorrow?dats for sure?.,benign
67,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,benign
68,"I love your Instagram profile and if you let me, I would like to use one of your pictures on an art project I'm working on. You'll get paid for it.",smishing
69,"Sorry, I can't help you on this.",benign
70,Did u got that persons story?Anyhow..,benign
71,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,benign
72,"Yeah why not, is the gang all ready",benign
73,"The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link within 12 hours. https://uspgfs.top (Please reply to Y, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) The US Postal team wishes you a wonderful day",smishing
74,"When you just put in the + sign, choose my number and the pin will show. Right?",benign
75,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?,benign
76,"The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link. https://uspbb.top (Please reply to 1, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) The US Postal team wishes you a wonderful day!",smishing
77,"Hi, are you who played golf together last time? I'm Lisa",smishing
78,Lol where do u come up with these ideas?,benign
79,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",benign
80,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,smishing
81,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,benign
82,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",benign
83,"Dear customer,Your Apple 1D is due to expire today Prevent this by confiming your Apple ID at ataligaid daal.au",smishing
84,Sos! Any amount i can get pls.,benign
85,Your $1000 Stimulus Check for November has been approved. Confirm details dtsaiel.com/OMDOK9EA,smishing
86,Bring it if you got it,benign
87,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,benign
88,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,benign
89,MetaMask?bvs2y.mk 11:Your wallet has been locked due to ununsual transactions.visit https://iepsantodomingosavio.edu.pe/metama,smishing
90,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.secure-fundhub.com In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 30, 2023. Thank you for your cooperation! Sincerely, [IRS] ",smishing
91,"http://arousalplus4inches.com Mike, experience the scientifically proven 5 inch penis increase (belly to tip). 3622 sold today, 39 left. -MIT Research 15:36",smishing
92,You should change your fb to jaykwon thuglyfe falconerf,benign
93,No i am not having any movies in my laptop?download?,benign
94,"The ClassSuit TRIAL has ended and YOUR $19,038 settlement allocation is READY; CONGRATS to the People! settclss.com/Ccn26dr stop to end",smishing
95,XM notice: SxyKristen127 sent you a fbuddy request. Read what she had to say now: http://brdcry.com/D2Xswv0,smishing
96,From USPS: Your package cannot be delivered due to the wrong delivery address. Please change the correct delivery address from the following URL: https://rb.gy/1esm1 Reply Y Click the link to inquire.,smishing
97,Oprah had a Heart Attack! Read http://relateversion.com/1DvMxP,smishing
98,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,smishing
99,"Congratulations, Your entry into our contest last month made you a WINNER! Goto http://www.apple.com.text.won.com?to claim your prize! You have 24 hours to claim",smishing
100,1-1/ CID: CO4125 https:http://3260518391/co.php,smishing
101,Wells Fargo ALRT: Account locked due to unusual activity. You will still be able to deposit funds into your Wells Fargo account(s). Visit link to remove hold: https://wfveri-info.com,smishing
102,"We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : https://restartmmberswebsite.uscreen.io/ Netflix Services",smishing
103,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...,benign
104,Dear Customer your pyatm wallet Has been booked and hold Your amount please complete your kyc contact customer care 6299257179,smishing
105,"Did you have a good time buying at CVS? We're curious to know! For a chance to win $50, respond to these 4 questions. http://answerurge.network/J4rzuzfR",smishing
106,Oh k?I know that?and I have been watching here?,benign
107,I WILL CAL YOU SIR. In meeting,benign
108,will you like to be spoiled? :),benign
109,Much better now thanks lol,benign
110,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",smishing
111,Shant disturb u anymore... Jia you...,benign
112,LEMON NADE You have a new notification: https://iaqwqtii.com/6hTbr Reply STOP to optout,smishing
113,(213) 671-8751 Here is an opportunity for you to benefit from extra unemployment insurance funds relief bonus set up by federal Government with a sum of $2400 every week as Taxes Refund Benefit Programe for every citizen Act Plan. Apply here: (https://forms.office.com/r/Oc71GAVPIJ) 10:26 PM,smishing
114,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,benign
115,How much i gave to you. Morning.,benign
116,I hate when she does this. She turns what should be a fun day into an annoying day of quarrels.,benign
117,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,benign
118,He also knows about lunch menu?.I know this thing,benign
119,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",benign
120,"We've received copyright infringement complaints about content on your account. If you believe this is a mistake, appeal here before your account is disabled: instagram-copyright-appeals.com/verify",smishing
121,"Hi, I'm Justin! Don't let the time change throw off your business's finances. Take advantage of a government credit that could be worth enough money to keep your business running like clockwork. I can tell you how much you might be eligible for. Interested? YES for info, STOP to opt out.",smishing
122,When u wana see it then,benign
123,Otherwise had part time job na-tuition..,benign
124,meet you in corporation st outside gap … you can see how my mind is working!,benign
125,"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 6200992462 Now! ",smishing
126,"[EE]:We were unable to process your latest bill. In order to avoid fees, update your billing information via: https://ee.uk.billing45.com/?ee=2",smishing
127,I have gone into get info bt dont know what to do,benign
128,"<Subject: Unusual Activity> : We've suspend your Amazon account due to unusual activity. New Login attempt has been blocked from : Mozilla Firefox 8.7 120.12.194.127 - Russia] Your Amazon account has been locked by our system. If this wasn't you, please verify with link below: https://lindsy352.preview.softr.app/?t=1659623895934 ",smishing
129,Singer Britney Spears RACIST outburst captured on video camera http://supplyform.boutique/YEXP11Qs,smishing
130,Brenda shot you a live video invite. Access her webcam here: http://cvvwbt.com/P9nu9lx,smishing
131,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum.,smishing
132,Ya just telling abt tht incident..,benign
133,"No, I decided that only people who care about stuff vote and caring about stuff is for losers",benign
134,IRS_TAX_RE-FUND_ID_#01Q F20J091.pdf PDF Document  84 KB,smishing
135,"Amazon: Congratulations Henry, you came 3rd in today's Amazon pods raffle! Click the link to : b2gxv.info/5ssC5f2SEG",smishing
136,RBC CANADA Security Alert: Your RBC Client Card 4519**** has been temporarily locked due to unusual activity. To Regain Access Visit http://RBC-CANADA-Verify-Secure-Online.Com,smishing
137,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,benign
138,URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,smishing
139,Even i cant close my eyes you are in me our vava playing umma :-D,benign
140,Just got to  &lt;#&gt;,benign
141,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,benign
142,"Hi there, I didn't mean to disturb you. My good friend is single, she is beautiful, kind, gentle and independent. But because of her busy work, she doesn't have many opportunities to make new friends. Now it is up to marriage age, and want to meet guy over 28. If you are interested, Reply the number ""1"" and Click the link to message her immediately.¶h https://wa.me/1607599596 Wish you have a happy life.",smishing
143,"Sorry, I'll call later..busy ryt now..",benign
144,Joy's father is John. Then John is the NAME of Joy's father. Sweta,benign
145,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.",benign
146,"hey you im in Brandon, my S.N A P: - Chiquta228",smishing
147,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",smishing
148,I not free today i haf 2 pick my parents up tonite...,benign
149,Canada Post - The package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address at the link. https://www.hympes.com?token=kLiSsmaTxrkYPhNN The Canada Post team wishes you a great day!,smishing
150,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 100 FREE text + FREE camcorder Reply or Call 08000930705,smishing
151,"Hey,Are you interested being my text buddy and be getting $300 three times a week and I do nothing sexual, you don't have to pay any fee before you get your allowance You'll get your first allowance today if you're serious",smishing
152,"	SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",smishing
153,"Treat yourself today and tomorrow when you register at Costco. Get your card valued at $55, this will not last too long. Yes, you can share! http://sidedeity.finance/lgUzySA5",smishing
154,"Delivery service: Provide the correct delivery address to avoid delay in receiving the goods due to incomplete door number. After replying ""OK"", reconfirm your address http://www.uskps.com/go/Tracking/G2T22 Please update it timely.",smishing
155,YOU ARE CHOSEN TO RECEIVE A £450 AWARD! Pls call claim number 09066364315 to collect your award which you are selected to receive as a valued mobile customer.,smishing
156,HotJackie871 is hoping for intimate pleasures. Accept her invite here: http://tftjrl.com/8xGFWIB,smishing
157,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,smishing
158,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",benign
159,Hahaha..use your brain dear?.thats important,benign
160,I uploaded mine to Facebook,benign
161,Your Vehicle Driver Historyhas updated. https://t.co/qVM5acOYOu?qrxxsviswlr ryxdiscod ,smishing
162,Unwanted messages are flooding into your phone for a potential risk to your confidential data. Take action and remove them: wklnv.me/nK7NWdxQXN,smishing
163,So are you guys asking that i get that slippers again or its gone with last year,benign
164,Dear Customer your pyatm wallet Has been booked and hold Your amount please complete your kyc contact customer care 7908807538,smishing
165,	UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,smishing
166,"BofA:Your account has been restricted, visit secbofa.page.link/NLt",smishing
167,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡,smishing
168,Oh is it! Which brand?,benign
169,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,smishing
170,If you don't respond imma assume you're still asleep and imma start calling n shit,benign
171,Surely result will offer:),benign
172,"Oh, then your phone phoned me but it disconnected",benign
173,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. ",benign
174,"Suspicious login attempt detected from Moscow, Russia. If this wasn't you, reset your password immediately: ebay-account-protect.com/reset",smishing
175,Hello which the site to download songs its urgent pls,benign
176,Tmo-bi1: Please note here is your Holiday little surprise gift to convey our reciprocal loyalty for your outstanding payment history. Let's have another great year: NU711.iNfo/ph9mqgxzrR,smishing
177,"Your tax refund of ?349.14 is ready to be claimed. To access your refund, follow the steps required. http:/bit.do/Claim-Tax",smishing
178,"Come round, it's . ",benign
179,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",benign
180,"Jack, what are your plans for tomorrow?",smishing
181,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,smishing
182,True. Its easier with her here.,benign
183,U.S.P.S - The package has arrived at the warehouse and cannot be delivered due to incomplete address information.Confirm your address at the link. https://authority-ustesters.top/ ,smishing
184,So u gonna get deus ex?,benign
185,"Jeremy, you still have $100 Amazon Rewards credit: v4fzc.info/CKQpOZrVXi See what you can buy before it expires on 03/27 v4fzc.info/CKQpOZrVXI 21:33",smishing
186,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",benign
187,How are you holding up?,benign
188,"alright babe, justthought i’d sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x.",benign
189,Hello- thanx for taking that call. I got a job! Starts on monday!,benign
190,Indeed and by the way it was either or - not both !,benign
191,FRM:|Voucher#FE745015|oprahstoday.com MSG:Oprah is doing her biggest giveawayl Voucher#E745015 ,smishing
192,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time",benign
193,"	URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",smishing
194,"Hi, sorry I was in Australia and I'm back. I owe $500 on the phone to pay off. I'll give it to you for $330 if you want. I'm off work at 7pm in Encinitas A couple people are interested so just keep me posted if you didn't get one already O'",smishing
195,Great! So what attracts you to the brothas?,benign
196,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",benign
197,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,benign
198,Ok. Wonderful?,benign
199,Is there coming friday is leave for pongal?do you get any news from your work place.,benign
200,"Your account has been limited. To restore full access, please update your information at: paypal-secure.verify-account.com",smishing
201,I've would like to thank you for this brother. I promise I wont take your help for granted and will fulfil my promise.,benign
202,Sorry for the delay. Yes masters,benign
203,I dont have that much image in class.,benign
204,Many times we lose our best ones bcoz we are,benign
205,Get the Biggest Dick For Her spikefibrous.com/TrarTX,smishing
206,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),benign
207,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming,benign
208,"Aight, can you text me the address?",benign
209,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,benign
210,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.secure-fundhub.com In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline:",smishing
211,"Your card charged for $349 for Domesis Matthewson Recliner Charcoal Gray. order id AMZ1649751 on 12-13-2022. If you DO NOT, Please contact us +18772214408",smishing
212,Lmao but its so fun...,benign
213,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",benign
214,"The carrier was unable to deliver your order because the shipping information is missing a house number. Check, please. prhomitaddr.info/Mfwe O°",smishing
215,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... 'GUESS!!",benign
216,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",benign
217,What happened in interview?,benign
218,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",benign
219,Tell them u have a headache and just want to use 1 hour of sick time.,benign
220,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,benign
221,"[I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.easy-transaction.com In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: November 30, 2023. Thank you for your cooperation! Sincerely, [IRS]",smishing
222,"[I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. https://irs.gov.safe-paying.com The mission of the IRS is to help American taxpayers understand and meet their tax obligations and to provi > View all",smishing
223,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,smishing
224,	Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,smishing
225,"Pvt Finance arranged on cheque basics 4 Business Peoples, Traders, Stockists, Industries & corporate comp, P.M turn over 20L. Cnt-9840139557",smishing
226,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,smishing
227,"Todays Vodafone numbers ending 5263 are selected to receive a Rs.2,00,000 award. If you have a match please call 6200992462 quoting claim code 4267 standard rates apply",smishing
228,I;m reaching in another 2 stops.,benign
229,Its  &lt;#&gt; k here oh. Should i send home for sale.,benign
230,"1 of 2 FRM:EXTRA INCOME FOR YOU MSG:Hello, Are you interested in a $20 hourly working from home JOB? Training: 1 week. Payment: (Con't) 2 of 2 Weekly. Experience: Not needed. Location: Anywhere of your choice. Kindly reply with ""YES"" to proceed (End)",smishing
231,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,benign
232,"Yup, leaving right now, be back soon",benign
233,Alex says he's not ok with you not being ok with it,benign
234,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",smishing
235,"Last Chance! Claim ur £350 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ.",smishing
236,"Your Netflix membership is on hold. We're having some trouble with your current billing information. To using your account as normally, please follow the instructions by click on link below: https://onelink.to/mmbershippos.co_di.p Netflix Services",smishing
237,Sorry da. I gone mad so many pending works what to do.,benign
238,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,smishing
239,10 min later k...,benign
240,Try to do something dear. You read something for exams,benign
241,"URGENT! Last weekend's draw shows that you have won £1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",smishing
242,What is your record for one night? :),benign
243,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",benign
244,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,smishing
245,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,smishing
246,Look who died in an accident I think you know him so sorry...ðŸ~ https://photo.a4d8.us/xnhbmikwu,smishing
247,Are you going to wipro interview today?,benign
248,How much she payed. Suganya.,benign
249,Ü wait 4 me in sch i finish ard 5..,benign
250,"Babe, I'm back ... Come back to me ...",benign
251,VONS: Thanks for opting in to texts! Finish signing up to receive 5 Rewards (worth $7) https://vons.onelink.me/MuHG/s37kcrr2 Txt STOP 2 end,smishing
252,have you ever had one foot before?,benign
253,"Unusual Activity : We've suspend your Amazon account due to unusual activity. Login attempt blocked from : Chrome 104.0 [ 233.183.152.35 - Taiwan] Our system has suspend your Amazon account for security reasons. To unlock your Amazon account, please verify with link below: https://a-use192.vev.site/redirecting/?=8651140 You need to take action within 2 days before account will be suspended. Regards, Amazon Teams",smishing
254,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,smishing
255,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,benign
256,Drop Thirty Pounds in Less Than Thirty Days! See How and Try it for Absolutely No Cost! remedyfr.com/index.php?key=d2jqpwg6d7a2uz7cs98z&h=rjwBM9SGg,smishing
257,"I'm showing you a comprehensive plan for your car, available for just 19 a month. Open: mla0q2djmf.co/jszuy Reply END to unsubscribe ",smishing
258,FRM:www.Oprahs.diet (Voucher#CIGS97) MSG:Were Announcing Oprah's Latest Natural Flavor Dietary Candy Give  Away (Voucher#CIGS97),smishing
259,UR Mobile Number Won 2Crores 35Lakh Rupees In Chevrolet Motors Award 2015 For Claim Send Name Phone Number Address  Age To?Email:chevmotorlondon@hotmail.com,smishing
260,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,smishing
261,"	Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",smishing
262,1 Tomorrow is Sariah Baca's birthday Choose a card and gift they'll love in the app right now! https://app.givingli.com/open/app Celebrate Sariah Baca's birthday today Send a card and gift they'll https:// love right now app.givingli.com/open/app,smishing
263,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,benign
264,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,benign
265,Can you just come in for a sec? There's somebody here I want you to see,benign
